first_name,last_name,sex,birth,phone,email,password,salary,id_department,id_manager
asd,AD,male,,,,,,,
Dung,Nguyen Van,male,1966-07-18,0811523519,Dung1963_zoolander@gmail.com,196310263519,15000000,2,
Hung,Duong Quang,male,1961-10-25,0971505400,Hung1968_zoolander@gmail.com,196805085400,15000000,2,
Sang,Truong Dinh,male,1979-01-29,0841566356,Sang1960_zoolander@gmail.com,196007016356,15000000,2,
Han,Nguyen Thi Ngoc,female,1963-11-07,0971360397,Han1969_zoolander@gmail.com,196905050397,15000000,2,
Ngan,Hoang Thi Kim,female,1970-05-10,0981353909,Ngan1968_zoolander@gmail.com,196807053909,15000000,2,
Khanh,Bui Van,male,2000-03-31,0331334048,Khanh1977_zoolander@gmail.com,197712104048,12000000,3,
Son,Nguyen Hoang,male,1994-10-13,0971897125,Son1985_zoolander@gmail.com,198502077125,12000000,4,
Hoang,Hoang Dinh,male,1972-12-06,0331871878,Hoang1987_zoolander@gmail.com,198701301878,12000000,5,
Hiep,Duong Cong,male,1996-04-24,0811895736,Hiep1978_zoolander@gmail.com,197810115736,12000000,6,
Hieu,Hoang Van,male,1977-06-04,0331470417,Hieu1976_zoolander@gmail.com,197610070417,12000000,7,
Hue,Le Thi,female,1971-09-13,0821572217,Hue1980_zoolander@gmail.com,198012222217,12000000,8,
Hanh ,Ha Minh,female,1991-02-02,0341578574,Hanh 1987_zoolander@gmail.com,198705048574,8000000,3,7
Hai,Nguyen Cong,male,1975-05-11,0321513023,Hai1981_zoolander@gmail.com,198110173023,8000000,3,7
Manh,Le Van,male,1989-03-02,0981504722,Manh1979_zoolander@gmail.com,197902194722,8000000,3,7
Huong,Nguyen Thi,female,1980-09-07,0321851886,Huong1973_zoolander@gmail.com,197302041886,8000000,3,7
Khoi,Duong Cong,male,1971-10-19,0831329957,Khoi1984_zoolander@gmail.com,198408119957,8000000,3,7
Khoat,Duong Van,male,1972-04-27,0811382598,Khoat1990_zoolander@gmail.com,199005102598,8000000,4,8
Nhuong,Tran Dinh,male,1983-11-11,0321507411,Nhuong1976_zoolander@gmail.com,197611127411,8000000,4,8
Cuong,Tran Le,male,1999-12-09,0331517287,Cuong1972_zoolander@gmail.com,197211107287,8000000,4,8
Dang,Vu Dinh,male,1971-08-03,0811593697,Dang1974_zoolander@gmail.com,197401013697,8000000,4,8
Huan,Pham Bao,male,1991-01-16,0831388951,Huan1977_zoolander@gmail.com,197710318951,8000000,4,8
Linh ,Duong Thuy,female,1998-06-27,0831530796,Linh 1973_zoolander@gmail.com,197308170796,8000000,6,9
Quyen,Do Linh,female,1998-11-16,0841861763,Quyen2000_zoolander@gmail.com,200006281763,8000000,6,10
Quang,Nong Duc,male,1971-04-09,0831398750,Quang1988_zoolander@gmail.com,198801038750,8000000,6,10
Quynh,Phung Thuy,female,1976-01-25,0841318149,Quynh1993_zoolander@gmail.com,199306088149,8000000,6,10
Viet,Hoang Xuan,male,1992-01-01,0341322282,Viet1989_zoolander@gmail.com,198910052282,8000000,5,9
Tuan,Hoang Manh,male,1994-05-01,0321805945,Tuan1973_zoolander@gmail.com,197310055945,8000000,5,9
Lam,Nong Ngoc,male,1977-07-14,0841327256,Lam1992_zoolander@gmail.com,199208077256,8000000,5,9
Manh,Bui Duc,male,1976-12-04,0341378058,Manh1999_zoolander@gmail.com,199912318058,8000000,5,9
Hung,Duong Cong,male,2000-11-16,0811594186,Hung1980_zoolander@gmail.com,198005044186,8000000,5,9
Khuong,Duong Manh,male,1997-10-18,0841331572,Khuong1971_zoolander@gmail.com,197109161572,8000000,5,9
Khanh,Bui Van,male,1987-09-07,0321814127,Khanh1997_zoolander@gmail.com,199702084127,8000000,7,11
Khoi,Nguyen Van,male,1975-09-10,0821351529,Khoi1981_zoolander@gmail.com,198106051529,8000000,7,11
Bao ,Nguyen Van,male,2000-10-11,0341374941,Bao 1973_zoolander@gmail.com,197308264941,8000000,7,11
Khoa,Nguyen Van,male,1998-11-13,0981339167,Khoa1990_zoolander@gmail.com,199007169167,8000000,7,11
Hung,Nguyen Van,male,1973-04-12,0971314818,Hung1976_zoolander@gmail.com,197602024818,8000000,7,11
Huy,Nguyen Van,male,1977-04-24,0311455465,Huy1990_zoolander@gmail.com,199010265465,8000000,7,11
Vinh,Nguyen Van,male,1981-04-12,0311539531,Vinh1994_zoolander@gmail.com,199410059531,8000000,7,11
Dat,Nguyen Van,male,1971-12-07,0811852499,Dat1978_zoolander@gmail.com,197806202499,8000000,7,11
Linh ,Nguyen Thi,female,1994-11-25,0841352485,Linh 1970_zoolander@gmail.com,197004092485,5000000,8,12
Quyen,Nguyen Thi,female,1988-02-18,0341554592,Quyen1999_zoolander@gmail.com,199905014592,5000000,8,12
Huyen,Nguyen Thi,female,1981-04-13,0981860820,Huyen1998_zoolander@gmail.com,199811090820,5000000,8,12
Hue,Nguyen Thi,female,1974-03-08,0341550502,Hue1995_zoolander@gmail.com,199509040502,5000000,8,12
Phuong,Nguyen Thi,female,2000-04-15,0831572570,Phuong1980_zoolander@gmail.com,198008162570,5000000,8,12
Thu,Le Thi,female,1977-01-24,0841586027,Thu1976_zoolander@gmail.com,197611246027,5000000,8,41
Anh,Le Thi,female,1977-09-08,0311302834,Anh1987_zoolander@gmail.com,198708152834,5000000,8,41
Tuyet,Le Thi,female,1989-03-06,0831818717,Tuyet2000_zoolander@gmail.com,200011038717,5000000,8,41
